herder_id,labour.item,s2/labour_exchange/e_act_id_other,s2/labour_exchange/e_act_score
100,Herding activities,,1
100,Finding lost reindeer,,1
100,Taking animals to slaughterhouse,,1
100,Repairing vehicles,,1
100,Repairing fences/corrals,,1
100,Repairing cabins,,1
100,Other,,1
19,Herding activities,,3
19,Finding lost reindeer,,2
19,Taking animals to slaughterhouse,,3
19,Repairing vehicles,,3
19,Repairing fences/corrals,,1
19,Repairing cabins,,1
70,Herding activities,,1
70,Finding lost reindeer,,1
70,Taking animals to slaughterhouse,,1
70,Repairing vehicles,,1
70,Repairing fences/corrals,,1
70,Repairing cabins,,1
70,Handcrafts,,1
9,Herding activities,,1
9,Finding lost reindeer,,1
9,Taking animals to slaughterhouse,,7
9,Repairing vehicles,,1
9,Repairing fences/corrals,,1
9,Repairing cabins,,1
9,Other,Maintenance,1
73,Herding activities,,3
73,Finding lost reindeer,,3
73,Taking animals to slaughterhouse,,1
73,Repairing vehicles,,2
73,Repairing fences/corrals,,1
73,Repairing cabins,,1
73,Other,Maintenance,1
16,Herding activities,,1
16,Finding lost reindeer,,4
16,Taking animals to slaughterhouse,,2
16,Repairing vehicles,,6
16,Repairing fences/corrals,,2
16,Repairing cabins,,2
16,Other,Maintenance,2
75,Herding activities,,1
75,Finding lost reindeer,,2
75,Taking animals to slaughterhouse,,1
75,Repairing vehicles,,1
75,Repairing fences/corrals,,2
75,Repairing cabins,,2
75,Handcrafts,,1
46,Herding activities,,1
46,Finding lost reindeer,,2
46,Taking animals to slaughterhouse,,2
46,Repairing vehicles,,1
46,Repairing fences/corrals,,1
46,Repairing cabins,,1
2,Herding activities,,2
2,Finding lost reindeer,,2
2,Taking animals to slaughterhouse,,1
2,Repairing vehicles,,2
2,Repairing fences/corrals,,3
2,Repairing cabins,,1
2,Other,,1
60,Herding activities,,1
60,Finding lost reindeer,,2
60,Taking animals to slaughterhouse,,1
60,Repairing vehicles,,1
60,Repairing fences/corrals,,1
60,Repairing cabins,,1
60,Handcrafts,,1
64,Herding activities,,1
64,Finding lost reindeer,,2
64,Taking animals to slaughterhouse,,1
64,Repairing vehicles,,1
64,Repairing fences/corrals,,1
64,Repairing cabins,,1
64,Other,,1
5,Herding activities,,3
5,Finding lost reindeer,,3
5,Taking animals to slaughterhouse,,7
5,Repairing vehicles,,4
5,Repairing fences/corrals,,1
5,Repairing cabins,,1
18,Herding activities,,1
18,Finding lost reindeer,,2
18,Taking animals to slaughterhouse,,3
18,Repairing vehicles,,99
18,Repairing fences/corrals,,3
18,Repairing cabins,,1
18,Other,Makes sleds,7
74,Herding activities,,1
74,Finding lost reindeer,,1
74,Taking animals to slaughterhouse,,1
74,Repairing vehicles,,1
74,Repairing fences/corrals,,1
74,Repairing cabins,,1
74,Handcrafts,,1
34,Herding activities,,1
34,Finding lost reindeer,,2
34,Taking animals to slaughterhouse,,1
34,Repairing vehicles,,1
34,Repairing fences/corrals,,1
34,Repairing cabins,,1
72,Herding activities,,2
72,Finding lost reindeer,,2
72,Taking animals to slaughterhouse,,1
72,Repairing vehicles,,1
