"herder_id","SiidaCode","SiidaName","pgg.siida_donation","pgg.district_donation","labour.sharing.total","labour.exch.total","r.mean","s4.income_main"
97,"0","a",1,0,40,18,0.5,"Reindeer.sold"
40,"1","b",2,0,24,21,0.178571428571429,"Reindeer.sold"
46,"1","b",3,0,29,8,0,"Reindeer.sold"
74,"1","b",3,0,16,7,0.0714285714285714,"Tourism"
75,"1","b",3,0,29,10,0.0714285714285714,"Welfare
"
76,"2","c",5,0,21,7,0.1,"Reindeer.sold"
77,"2","c",4,0,20,8,0.0125,"Reindeer.sold"
85,"2","c",2,2,27,8,0.1,"Reindeer.sold"
86,"2","c",1,0,22,13,0.05,"Reindeer.sold"
1,"3","d",3,5,19,6,0.15625,"Professional"
2,"3","d",5,5,21,12,0.171875,"Reindeer.sold"
3,"3","d",5,0.5,13,9,0.15625,"Reindeer.sold"
26,"3","d",3,1,27,12,0,"Reindeer.sold"
27,"3","d",4,1,29,14,0.015625,"Reindeer.sold"
72,"3","d",2,0,33,8,0.125,"Reindeer.sold"
73,"3","d",5,5,26,12,0.125,"Other.outside"
49,"4","e",5,1,25,10,0,"Reindeer.sold"
34,"5","f",5,0,22,7,0.5,"Reindeer.sold"
35,"5","f",5,0,21,6,0.5,"Reindeer.sold"
36,"5","f",5,4,22,9,0.5,"Reindeer.sold"
70,"6","g",5,0,19,7,0.0357142857142857,"Reindeer.sold"
5,"7","h",2,1,24,19,0.0588235294117647,"Reindeer.sold"
9,"7","h",0,0,25,13,0.0661764705882353,"Subsidies"
16,"7","h",2,2,21,19,0.169117647058824,"Reindeer.sold"
18,"7","h",5,0,21,17,0.147058823529412,"Tourism"
19,"7","h",0,0,17,13,0.169117647058824,"Reindeer.sold"
100,"7","h",2,0,24,7,0.0808823529411765,"Subsidies"
60,"8","i",5,5,23,8,0.111111111111111,"Reindeer.sold"
64,"8","i",5,0,22,8,0.305555555555556,"Reindeer.sold"
82,"8","i",0,0,18,9,0.138888888888889,"Reindeer.sold"
